name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Wembley Library,Brent Civic Centre Engineers Way,,,,,,,,,519229.84400679916,185846.84612179548,-0.2798831296384714,51.55840914113832,11/20/2022
Kilburn,Salusbury Road,,,Brent,,202046410,E09000005,Queens Park,E05000098,524568.0001221001,183327.00012210011,-0.20380227292931594,51.53460691723079,11/20/2022
Bradmore Green,Bradmore Way,Coulsdon,,Croydon,,200001206439,E09000008,Old Coulsdon,E05011474,530861.0001221001,158165.00012210011,-0.1224049401972604,51.307032707199774,11/20/2022
Biggin Hill Memorial Library and Pool,Church Road,Biggin Hill,,Bromley,,10070007971,E09000006,Biggin Hill,E05000107,541908.0001221001,158979.00012210011,0.036318182477974324,51.311700653215325,11/20/2022
Coulsdon,Brighton Road,Coulsdon,,Croydon,,100023534265,E09000008,Coulsdon Town,E05011466,529802.0001221001,159522.00012210011,-0.137096790433257,51.31947202964364,11/20/2022
Purley,Banstead Road,Purley,,Croydon,,200001215992,E09000008,Purley & Woodcote,E05011476,531141.0001221001,161686.00012210011,-0.11709401162238918,51.338614721070485,11/20/2022
Sanderstead,Farm Fields,South Croydon,,Croydon,,200001205396,E09000008,Sanderstead,E05011478,533444.0001221001,161932.00012210011,-0.08395529727640097,51.34028968819036,11/20/2022
New Addington,Central Parade,Croydon,,Croydon,,100023534498,E09000008,New Addington South,E05011471,538262.0001221001,162072.00012210011,-0.014765878040715304,51.340396323261224,11/20/2022
Selsdon,Addington Road,South Croydon,,Croydon,,10014054952,E09000008,Selsdon Vale & Forestdale,E05011481,535054.0001221001,162157.00012210011,-0.06076701242176913,51.34193161356677,11/20/2022
Library @ the Phoenix Centre,Mollison Drive,Wallington,,Sutton,,5870113095,E09000029,Beddington South,E05000556,530085.0001221001,163225.00012210011,-0.1316846713578861,51.35268985475445,11/20/2022
Wallington Library,Shotfield,Wallington,,Sutton,,5870076858,E09000029,Wallington South,E05000570,528851.0001221001,163709.00012210011,-0.14922239237916213,51.3573212854283,11/20/2022
Cheam Library,Church Road,Cheam,,Sutton,,5870018019,E09000029,Cheam,E05000560,524257.0001221001,163846.00012210011,-0.21512635482852016,51.35957626282733,11/20/2022
Sutton Central Library,St Nicholas Way,Sutton,,Sutton,,5870113864,E09000029,Sutton Central,E05000564,525751.0001221001,164102.00012210011,-0.19358683253041048,51.36154843906423,11/20/2022
Hook and Chessington Library,Hook Road,Chessington,,Kingston upon Thames,,10091803267,E09000021,Chessington North and Hook,E05000404,518017.0001221001,164568.00012210011,-0.30447707972785787,51.36739708817156,11/20/2022
Library @ Westcroft Centre,Westcroft Road,Carshalton,,Sutton,,5870122731,E09000029,Wallington North,E05000569,528313.0001221001,164820.00012210011,-0.15654479095951912,51.36742880904304,11/20/2022
Croydon central library,Katharine Street,Croydon,,Croydon,,100022917682,E09000008,Fairfield,E05011468,532381.0001221001,165364.00012210011,-0.09793181334586268,51.37138430716383,11/20/2022
Worcester Park Library,Windsor Road,Worcester Park,,Sutton,,5870109125,E09000029,Nonsuch,E05000561,522491.0001221001,165801.00012210011,-0.2398070770394287,51.377532325566335,11/20/2022
