name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Museum of Croydon,Central Library,Croydon Clocktower,Katharine Street,Croydon,http://www.museumofcroydon.com/,100022917682,E09000008,Fairfield,E05011468,532381.0001221001,165364.00012210011,-0.09793181334586268,51.37138430716383,11/13/2022
Museum of Writing,c/o Institute of English Studies,University of London Senate House,Malet Street,Camden,http://www.museumofwriting.co.uk/,5016035,E09000007,Bloomsbury,E05000129,529927.0001221001,181851.00012210011,-0.1271166876033612,51.520133027140396,11/13/2022
The Foundling Museum,40 Brunswick Square,NA,NA,Camden,http://www.foundlingmuseum.org.uk/,5002560,E09000007,King's Cross,E05000141,530403.0001221001,182378.00012210011,-0.12006407994067073,51.524759794575125,11/13/2022
Freud Museum,20 Maresfield Gardens,NA,NA,Camden,https://www.freud.org.uk/,5012934,E09000007,Frognal and Fitzjohns,E05000133,526482.0001221001,184855.00012210011,-0.1756692171178639,51.54791475159056,11/13/2022
Keats House,10 Keats Grove,Hampstead,NA,Camden,http://www.cityoflondon.gov.uk/keats,5015415,E09000007,Hampstead Town,E05000135,527108.0001221001,185666.00012210011,-0.16635185678295766,51.55506318286009,11/13/2022
British Museum,Great Russell Street,NA,NA,Camden,http://www.britishmuseum.org/,5027059,E09000007,Bloomsbury,E05000129,530086.0001221001,181669.00012210011,-0.12489323721873777,51.51846067038543,11/13/2022
2 Willow Road,Hampstead,NA,NA,Camden,https://www.nationaltrust.org.uk/2-willow-road,5032722,E09000007,Hampstead Town,E05000135,527019.0001221001,185841.00012210011,-0.16757183248871632,51.556656100869795,11/13/2022
British Library,96 Euston Road London,NW1 2DB ,NA,Camden,http://www.bl.uk/,5037737,E09000007,St. Pancras and Somers Town,E05000143,530019.0001221001,182893.00012210011,-0.12540663375542954,51.52947698734555,11/13/2022
Burgh House and Hampstead Museum,New End Square,Hampstead,NA,Camden,www.burghhouse.org.uk/,5067420,E09000007,Hampstead Town,E05000135,526606.0001221001,185944.00012210011,-0.17348958315681395,51.55767471077863,11/13/2022
Royal College of Physicians of London Museum,Library Archive and Museum Services,11 St Andrews Place,Regent’s Park,Camden,http://www.rcplondon.ac.uk/museum-and-garden,5069347,E09000007,Regent's Park,E05000142,528783.0001221001,182390.00012210011,-0.1434009128363048,51.52523946330214,11/13/2022
"Jewish Museum, London",Raymond Burton Hs,129-131 Albert Street,NA,Camden,http://www.jewishmuseum.org.uk/,5082327,E09000007,Camden Town with Primrose Hill,E05000130,528774.0001221001,183673.00012210011,-0.14306134313921962,51.53677277807203,11/13/2022
Wellcome Collection,183 Euston Road,NA,NA,Camden,http://www.wellcomecollection.org/,5083806,E09000007,Bloomsbury,E05000129,529550.0001221001,182426.00012210011,-0.13233652342150934,51.52538755920487,11/13/2022
Government Art Collection,Queen's Yard,179a Tottenham Court Rd,NA,Camden,www.gac.culture.gov.uk/,5087928,E09000007,Bloomsbury,E05000129,529492.0001221001,182023.00012210011,-0.13332035698875788,51.52177882342938,11/13/2022
The British Museum,Great Russell Street,NA,NA,Camden,http://www.britishmuseum.org/,5090682,E09000007,Bloomsbury,E05000129,530059.0001221001,181712.00012210011,-0.12526632844487084,51.51885335819482,11/13/2022
Fenton House,Hampstead Grove,Hampstead,NA,Camden,https://www.nationaltrust.org.uk/fenton-house-and-garden,5126160,E09000007,Hampstead Town,E05000135,526253.0001221001,186017.00012210011,-0.17855322763640655,51.558409959441974,11/13/2022
Sir John Soaneʼs Museum,13 Lincoln’s Inn Fields,NA,NA,Camden,http://www.soane.org/,5137612,E09000007,Holborn and Covent Garden,E05000138,530713.0001221001,181465.00012210011,-0.11593635110788342,51.516482429130974,11/13/2022
"Ben Uri Gallery, The Art Museum for Everyone, The London Jewish Museum of Art",108A Boundary Road,off Abbey Rd,St John’s Wood,Camden,www.benuri.org.uk,5144462,E09000007,Kilburn,E05000140,525949.0001221001,183631.00012210011,-0.18379098900502722,51.537032781529106,11/13/2022
"Grant Museum of Zoology and Comparative Anatomy, UCL",21 University Street,NA,NA,Camden,https://www.ucl.ac.uk/culture/grant-museum-zoology,5157295,E09000007,Bloomsbury,E05000129,529505.0001221001,182172.00012210011,-0.13307828622276366,51.523115008733654,11/13/2022
Petrie Museum of Egyptian Archaeology,University College London,Malet Place,NA,Camden,http://www.culture24.org.uk/se000386,5157395,E09000007,Bloomsbury,E05000129,529654.0001221001,182223.00012210011,-0.1309127849608576,51.5235391884587,11/13/2022
"Geology (and Teaching & Research) Collections, UCL",Rock Room,"Room 4, First Floor",South Wing,Camden,https://www.ucl.ac.uk/culture/geology-collection,5157402,E09000007,Bloomsbury,E05000129,529587.0001221001,182227.00012210011,-0.13187663040975917,51.52359051926899,11/13/2022
