name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
Moth Club,HACKNEY,www.mothclub.co.uk,100023022302,E09000012,Homerton,E05009376,Hackney Trades Hall Valette Street,Hackney,,535006.0,184765.0,-0.05283064783338017,51.545130588780204,11/20/2022
Total Refreshment Centre,,www.totalrefreshment.net,,,,,2A Foulden Road,,,533629.8500000983,185857.43999949843,-0.07225141239405451,51.555276312536535,11/20/2022
The White Hart,Lewisham,,100000000000,E09000023,Telegraph Hill,E05000453,184 New Cross Road,Lewisham,,535752.000122197,176868.00012159348,-0.04511888852545239,51.473979323192054,11/20/2022
The Camden Assembly Pub,Camden,www.camdenassembly.com,5020249,E09000007,Haverstock,E05000136,49 Chalk Farm Road,Camden,,528436.000122197,184314.00012159348,-0.14769866368458578,51.54261093903531,11/20/2022
Peckham Levels,Southwark,www.peckhamlevels.org/events,0,E09000028,Rye Lane,E05011113,Peckham Levels 95a Rye Lane,London Se15 4st,,534271.000122197,176411.00012159348,-0.06660641569886153,51.47022555171327,11/20/2022
Fold,,www.shapescollective.com,,,,,Gillian House,Stephenson Street,,539151.3509067968,181949.99157249928,0.005805652016585836,51.51882520582024,11/20/2022
Kansas Smitty's,,www.kansassmittys.com,,,,,63-65 Broadway Market,,,534546.9160105959,183827.77491239458,-0.05980619768391666,51.53681714136132,11/20/2022
Big Easy,,www.bigeasy.co.uk,,,,,Crossrail Place,,,537670.4106782973,180245.36610189825,-0.016193363142394508,51.5038685224563,11/20/2022
Sister Midnight Records,,www.sistermidnightrecords.co.uk,,,,,4 Tanner's Hill,,,537189.8373322934,176927.90497199446,-0.024403379778715976,51.47417081602974,11/20/2022
Tooting Tram & Social,,www.tootingtramandsocial.co.uk,,,,,46-48 Mitcham Rd,,,527533.9125013947,171347.1312507987,-0.1653856075188256,51.426270560131556,11/20/2022
The Unicorn,Camden,www.theunicorncamden.com,,,,,227a Camden Road,,,529786.981259495,184992.70312279463,-0.12797558292784783,51.54840176049184,11/20/2022
