LSOACODE,LSOANAME,geometry,Cleaned_Names,area_sqkm,centroids,culture_within_400m,minimum,second_lowest,third_lowest,avg_walking_time,min_walking_time,RESIDUALS,ROWNUM,RESID_SLY,LSOA code (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Children and Young People Sub-domain Score,Adult Skills Sub-domain Score,Geographical Barriers Sub-domain Score,Wider Barriers Sub-domain Score,Indoors Sub-domain Score,Outdoors Sub-domain Score,GWR_education,GWR_employment,R2,tstat_education,significant_education,tstat_employment,significant_employment,RESID_SER
E01004021,Southwark 028D,"list(list(c(534321, 534328.819, 534377.164, 534366.838, 534312.837, 534326.911, 534319.745, 534206.561, 534136.183, 534104.468, 534103.651, 534099.843, 534075.17, 534173.001, 534295.777, 534403.58, 534435, 534394.947, 534361.286, 534397.222, 534387.521, 534328.819, 534264.028, 534241.932, 534321, 175100, 175124.558, 175095.461999999, 174995.092, 174963.864, 174892.774, 174894.973999999, 174911.27, 174918.353, 174921.828, 174925.105, 175067.560000001, 175368.214, 175405.993000001, 175459.392999999, 
175481.623, 175282.001, 175277.040999999, 175272.874, 175174.158, 175117.876, 175124.558, 175132.336999999, 175107.717, 175100)))",Southwark,150784.36630249023,"c(534245.660968444, 175193.207383967)",0,1563.387254386167,1724.4308542474198,1778.6525392927838,1215.9529555023291,1125.6388231580402,7.4952987061219565,1,-5.0100742502896995,E01004021,E09000028,Southwark,14.812,0.95,0.066,4.897,2.851,2.216,28.391,32.002,0.154,0.194,1.8370000000000002,0.127,-0.765,3.764,-0.004,1.524,0.2571996800608256,-57.69833406787479,0.6145930195176372,0.21933302285386186,Not Significant,-1.962607117569544,Not Significant,6.085283828812203
E01004595,Wandsworth 025B,"list(list(c(525059.067, 525059.476, 525055.402, 525050, 525035.724, 524938.775, 524919, 524907.726, 524858.86, 524897.709, 524928.29, 524954.518, 524965.83, 524994.61, 525020.91, 525198.797, 525214.87, 525072.954, 525024.684, 525114.055, 525095.77, 525258.055, 525293.586, 525324.585, 525352.779, 525361.233, 525467.918, 525476, 525664.069, 525715.579, 525675.628, 525640.759, 525662.069, 525663.018, 525597.202, 525587.044, 525436.079, 525434.892, 525276, 525215.81, 525221.748, 525188.526, 525120.701, 
525085.645, 525076.318, 525059.476, 525084.997, 525059.067, 173323.146, 173320.136, 173318.989, 173353, 173382.903000001, 173355.437000001, 173380.966, 173425.369000001, 173409.885, 173557.332, 173589.017999999, 173540.539000001, 173564.166999999, 173550.677999999, 173614.651000001, 173664.73, 173600.731000001, 173556.789000001, 173511.846000001, 173441.111, 173413.139, 173441.623, 173454.107999999, 173476.045, 173420.942, 173492.821, 173526.992000001, 173717, 173753.854, 173756.426999999, 173653.987, 
173523.548, 173330.045, 173323.960999999, 173320.954, 173346.029999999, 173294.444, 173261.857000001, 173212, 173198.137, 173167.299000001, 173155.810000001, 173139.801999999, 173135.362, 173196.109999999, 173320.136, 173327.318, 173323.146)))",Wandsworth,228352.08959960938,"c(525316.335632359, 173438.460256156)",0,840.6919833575191,1040.679787756316,1332.3244108568442,771.287083672963,605.2982280174137,-5.417532835110944,2,-0.015094846819820193,E01004595,E09000032,Wandsworth,8.241,0.5,0.029,6.7,2.396,2.25,19.687,29.988,0.074,0.151,2.065,0.11,-1.125,2.321,0.11,1.229,-0.4510168398127261,42.28762510370123,0.8567123892626518,-0.40057792294400296,Not Significant,2.000352238176186,Increase: Significant,-1.7841545611718217
E01000001,City of London 001A,"list(list(c(532105.092, 532162.491, 532248.316, 532282.63, 532308.608, 532303.492, 532251.126, 532267.728, 532213.064, 532282.25, 532248.249, 532227.688, 532173.125, 532074.375, 532080.25, 531948.313, 531951.875, 531985.875, 532052.5, 532064.375, 532095.563, 532077.705, 532069.813, 532021.188, 532022.374, 532082.876, 532105.092, 182011.23, 181867.763, 181895.324999999, 181906.495999999, 181915.52, 181814.109999999, 181720, 181643.780999999, 181477.203, 181460.5, 181332.036, 181278.875, 181263.453, 
181338.297, 181456.75, 181471.969000001, 181548, 181583.5, 181600.391000001, 181561.594000001, 181577.351, 181797.669, 181825.905999999, 181803.891000001, 181893.469000001, 181911.780999999, 182011.23)))",City of London,133320.76886749268,"c(532150.879430631, 181615.038453989)",0,599.415616786957,628.0982822327599,672.3595069250549,455.9696174267452,431.57924408660904,-3.259725506869161,3,-1.5392153586953707,E01000001,E09000001,City of London,6.208,0.07,0.01,0.024,1.561,0.33099999999999996,29.472,31.873,0.006,0.012,0.11399999999999988,0.032,-0.43,3.587,0.006,1.503,0.8255708288486462,11.409077689439746,0.6292763469346819,0.6338048136229176,Not Significant,0.7056742442077707,Not Significant,1.4129489776347062
E01000002,City of London 001B,"list(list(c(532746.813, 532671.688, 532614.313, 532602.313, 532567.313, 532574.812, 532523.625, 532459.813, 532352.688, 532300.438, 532305.625, 532268.313, 532279.688, 532248.249, 532282.25, 532213.064, 532267.728, 532251.126, 532303.492, 532308.608, 532341, 532332.041, 532419.592, 532435.792, 532445.769, 532572.325, 532634.5, 532619.141, 532746.813, 181786.891000001, 181574.108999999, 181568.297, 181523.703, 181543.108999999, 181574.108999999, 181584.905999999, 181381, 181184.875, 181199.562000001, 
181231.953, 181238, 181314.797, 181332.036, 181460.5, 181477.203, 181643.780999999, 181720, 181814.109999999, 181915.52, 181928, 181956.556, 181998.305, 182003.32, 181957.870999999, 181938.869000001, 181926.030999999, 181847.187999999, 181786.891000001)))",City of London,226191.2730026245,"c(532443.354118956, 181645.861853933)",0,514.2701798971999,526.1135272990829,609.1053838781988,395.8773818578756,370.27452952598395,-7.125551032994989,4,1.5688609597214873,E01000002,E09000001,City of London,5.143,0.34,0.027,0.063,2.0999999999999996,0,24.412,23.084,0.037,0.03,0.31400000000000006,0.034,-1.06,3.231,-0.41,1.196,1.0945558096936296,3.2225949987580345,0.48024291766394056,0.9419079782695766,Not Significant,0.1893943224573743,Not Significant,-0.9524616479900307
E01000003,City of London 001C,"list(list(c(532135.145, 532158.25, 532252.872, 532293.068, 532310.091, 532419.592, 532332.041, 532341, 532308.608, 532282.63, 532248.316, 532162.491, 532105.092, 532089.264, 532071.302, 532135.145, 182198.119000001, 182151.062000001, 182179.310000001, 182068.423, 182003.637, 181998.305, 181956.556, 181928, 181915.52, 181906.495999999, 181895.324999999, 181867.763, 182011.23, 182076.984999999, 182159.585999999, 182198.119000001)))",City of London,57302.966552734375,"c(532207.062255239, 182030.086776512)",0,411.62067130804314,417.1222645345234,593.2820461658818,341.2859956820276,296.3668833417911,-3.501485496906972,5,12.271175982463872,E01000003,E09000001,City of London,19.402,0.8599999999999999,0.086,5.804,3.113,1.311,40.103,40.535,0.052,0.128,1.929,0.142,-0.691,5.173,-0.054,2.207,1.1401012974709053,10.416194167486285,0.5230758606773952,0.9442150689996243,Not Significant,0.6514928237170321,Not Significant,-2.1833883034110495
E01000005,City of London 001E,"list(list(c(533807.946, 533649.063, 533602.438, 533575.125, 533319.188, 533378.863, 533439.563, 533499.063, 533604.244, 533610.974, 533743.688, 533782.577, 533803.174, 533837.938, 533842.313, 533807.946, 180767.77, 180733.858999999, 180815.173, 181143.297, 181386.001, 181459.766000001, 181591.155999999, 181582.405999999, 181418.129000001, 181410.968, 181261.328, 181161.623, 181053.432, 180857.858999999, 180789.312999999, 180767.77)))",City of London,190738.76050567627,"c(533618.5907817, 181157.118506612)",0,569.765714969763,639.8896782733659,749.3625326874018,470.1643022233274,410.2313147782294,-5.158184013670913,6,5.357349173995566,E01000005,E09000001,City of London,28.652,2.11,0.136,22.26,3.094,1.026,39.9,28.979,0.209,0.322,2.559,0.321,-1.167,5.361,-0.604,1.769,-0.30960569394522275,-13.85871144971396,0.7535971449362645,-0.3744175500137896,Not Significant,-0.8270973988842228,Not Significant,-2.455529472384883
E01000914,Camden 028B,"list(list(c(530436.397, 530465.117, 530523.531, 530543.928, 530597.486, 530628, 530736, 530723.34, 530772, 530826.242, 530885.743, 530935.971, 530992.372, 531046.534, 531044.893, 531123.486, 531053, 531074.776, 531053, 531137.407, 531153.29, 531206.057, 531210.362, 531189, 531186.628, 531158.538, 530966.688, 531133.75, 530977.999, 530914.188, 530648.449, 530573, 530660.15, 530660.223, 530554.845, 530511.315, 530452, 530421.01, 530406, 530377, 530345, 530287.153, 530269, 530300.243, 530380.686, 530253.639, 
530248.66, 530180, 530226.959, 530322.684, 530396.625, 530469.788, 530494.192, 530461.807, 530468, 530407, 530460.915, 530477.283, 530436.397, 181816.278999999, 181765.771, 181827.780999999, 181838.323000001, 181882.852, 181814, 181863, 181900.312999999, 181882.001, 181904.332, 181926.005000001, 181949.415999999, 181975.693, 181996.164000001, 181962.534, 181861.140000001, 181837, 181785.823000001, 181762, 181798.214, 181757.937999999, 181768.289000001, 181746.766000001, 181743, 181599.896, 181603.547, 
181596.733999999, 181278.984999999, 181223.547, 181358.203, 181230.247, 181395, 181427.401000001, 181463.671, 181436.257999999, 181531.164000001, 181515, 181558.385, 181578, 181619, 181595, 181673.623, 181698, 181723.333000001, 181781.436000001, 181939.707, 181945.336999999, 182026.155999999, 182058.094000001, 182095.961999999, 182124.172, 182152.210999999, 182093.064999999, 182052.233999999, 181979, 181944.001, 181856.176000001, 181826.994000001, 181816.278999999)))",Camden,448278.2154083252,"c(530729.812450388, 181664.129064129)",1,298.0706776460571,645.142577644899,691.7579873365092,392.3930982305917,214.61088790516112,-4.621927986481271,7,-0.671865766251375,E01000914,E09000007,Camden,13.106,0.73,0.052,7.575,1.7319999999999998,1.929,22.243,49.784,0.097,0.131,2.145,0.116,-1.058,2.817,0.51,2.178,0.012158946302700126,9.305199686612402,0.6920740362195301,0.016374703495652766,Not Significant,0.8641307518330262,Not Significant,-1.0465239347994377
E01000916,Camden 027B,"list(list(c(531314.878, 531341.75, 531388.735, 531426.749, 531506.684, 531554.875, 531521.644, 531410.665, 531287.46, 531261, 531222.512, 531214.019, 531224.681, 531229, 531166.385, 531144.906, 531146.227, 531120.618, 531095.862, 531132.907, 531090.677, 531074.863, 531053.833, 531061.226, 531062.149, 531145.436, 531186, 531221.964, 531291.626, 531314.878, 182095.346999999, 182048.187000001, 182052.193, 182058.062000001, 181871.217, 181659.280999999, 181639.848999999, 181576.112, 181727.254000001, 
181843, 181829.823000001, 181866.111, 181865.835000001, 181952, 181953.717, 181997.120999999, 181946.875, 181938.823999999, 182012.741, 182025.548, 182077.004000001, 182048.802999999, 182062.126, 182090.543, 182215.006999999, 182183.545, 182170.335999999, 182161.964, 182147.141000001, 182095.346999999)))",Camden,147688.47286224365,"c(531324.202846444, 181905.536868787)",1,372.58659475175205,407.04813426454007,707.5472054092656,356.9236642621338,268.26234822126145,-4.185062976166326,8,0.30650918300921265,E01000916,E09000007,Camden,19.491,1.35,0.083,10.937,2.548,1.369,25.341,51.268,0.22,0.28,2.366,0.168,-1.098,3.421,0.518,2.304,0.08397686716359248,19.905220072000272,0.6556744700838864,0.11520097272091975,Not Significant,1.6988716856525001,Not Significant,-0.6755708302179357
E01000917,Camden 027C,"list(list(c(531053.833, 531074.863, 531090.677, 531132.907, 531095.862, 531120.618, 531146.227, 531144.906, 531166.385, 531229, 531224.681, 531214.019, 531222.512, 531261, 531287.46, 531410.665, 531274.978, 531186.628, 531189, 531210.362, 531206.057, 531153.29, 531137.407, 531053, 531074.776, 531053, 531123.486, 531044.893, 531046.534, 530992.372, 530959.833, 530928, 531004, 531025, 531061.226, 531053.833, 182062.126, 182048.802999999, 182077.004000001, 182025.548, 182012.741, 181938.823999999, 181946.875, 
181997.120999999, 181953.717, 181952, 181865.835000001, 181866.111, 181829.823000001, 181843, 181727.254000001, 181576.112, 181581.084000001, 181599.896, 181743, 181746.766000001, 181768.289000001, 181757.937999999, 181798.214, 181762, 181785.823000001, 181837, 181861.140000001, 181962.534, 181996.164000001, 181975.693, 182043.335000001, 182101, 182139, 182106, 182090.543, 182062.126)))",Camden,74788.80345916748,"c(531165.538501982, 181835.32337626)",0,582.5570514611782,617.0185909739662,726.2437968477957,462.19666542790566,419.4410770520483,-6.799454922119625,9,-3.341400210315504,E01000917,E09000007,Camden,34.957,2.7800000000000002,0.193,19.078,3.1599999999999997,2.444,22.324,39.25,0.329,0.349,2.18,0.339,-1.626,2.986,-0.338,2.535,0.07932379738737796,18.02467971948728,0.6631857025142686,0.1113295946641693,Not Significant,1.6624884084069251,Not Significant,1.7115149740066022
E01000920,Camden 027D,"list(list(c(531062.149, 531061.226, 531025, 531004, 530928, 530959.833, 530992.372, 530935.971, 530885.743, 530826.242, 530751.611, 530721.357, 530654.014, 530658, 530609, 530607.204, 530620.561, 530568.135, 530612, 530592.088, 530570.022, 530649.309, 530804.092, 530875.557, 530920.312, 530971.75, 531062.149, 182215.006999999, 182090.543, 182106, 182139, 182101, 182043.335000001, 181975.693, 181949.415999999, 181926.005000001, 181904.332, 182004.672, 182033.357000001, 182009.790999999, 181937, 181918, 
181922.861, 181961.711999999, 182035.998, 182060, 182111.710999999, 182192.677999999, 182224.244000001, 182287.208000001, 182345.463, 182412.482999999, 182299.530999999, 182215.006999999)))",Camden,136032.42149353027,"c(530822.509412266, 182134.008285587)",0,510.8885637612601,648.198975825454,744.7357146778629,456.91758102349854,367.8397659081073,-2.739259831919574,10,9.439678909203304,E01000920,E09000007,Camden,15.017,1.1300000000000001,0.068,3.863,2.5509999999999997,1.845,21.398,43.564,0.088,0.31,1.6480000000000001,0.146,-1.818,2.823,0.539,1.673,0.3763624544148539,15.862896894305853,0.5796351032139884,0.5268888639822266,Not Significant,1.5682997306069026,Not Significant,0.31372481844674954
